item_name,price_factor_to_average,most_common_colour_hsl,most_common_colour_hex,item_price,category_price_average,image_file
Baby Plum Tomatoes,2.338,0 0 93,#ececec,1.59,0.68,Baby Plum Tomatoes.jpg
British Baking Potatoes,1.110,0 13 88,#e4dcdc,2.32,2.09,British Baking Potatoes.jpg
British Salted Butter 250g,0.706,5 84 49,#e42414,1.99,2.82,British Salted Butter 250g.jpg
Chicken Breast Fillets,0.803,0 0 93,#ececec,4.49,5.59,Chicken Breast Fillets.jpg
Cooked & Peeled Coldwater Prawns,0.476,0 0 93,#ececec,1.99,4.18,Cooked  Peeled Coldwater Prawns.jpg
Cooked Beetroot,0.375,150 29 33,#3c6c54,0.66,1.76,Cooked Beetroot.jpg
Corn Flakes Cereal,0.365,0 0 93,#ececec,0.95,2.60,Corn Flakes Cereal.jpg
Free Range Eggs 6 Pack,0.351,30 46 86,#ecdccc,0.99,2.82,Free Range Eggs 6 Pack.jpg
Galia Melon,0.685,60 46 86,#ececcc,1.85,2.70,Galia Melon.jpg
Grated Cheddar Cheese,0.753,200 96 39,#0484c4,2.99,3.97,Grated Cheddar Cheese.jpg
Medium Sliced White Bread,0.396,0 0 89,#e4e4e4,0.55,1.39,Medium Sliced White Bread.jpg
Olive Oil Extra Virgin,0.523,0 0 2,#040404,5.49,10.49,Olive Oil Extra Virgin.jpg
Oranges,0.428,33 90 58,#f49c34,1.39,3.25,Oranges.jpg
Pork Sausages 6 Pack,0.992,0 0 93,#ececec,2.49,2.51,Pork Sausages 6 Pack.jpg
Skimmed UHT Milk,0.232,30 23 86,#e4dcd4,0.69,2.97,Skimmed UHT Milk.jpg
Smoked Salmon Slices,0.821,225 53 24,#1c2c5c,4.49,5.47,Smoked Salmon Slices.jpg
