item_name,price_factor_to_average,most_common_colour_hsl,most_common_colour_hex,item_price,category_price_average,image_file
Apple,0.923,333 96 36,#b40454,1.79,1.94,1DEC0D1F9207E62F9243BC7BA69E4896EBA3FC987FF3CC94FB7CAC86AB76CDA3.jpg
Mixed Veg,0.820,344 96 36,#b40434,1.50,1.83,4FAAAAA146BBD6D81BFF1173488D5153E7FC526116E8352843EA317CF3C5250E.jpg
Apple Juice,0.358,0 0 93,#ececec,1.10,3.07,5867BEDBFA36C5953A45BB3C56A8BD6EC42C08A9285F286AD06192EEACD1DF3A.jpg
Eggs,0.670,223 39 28,#2c3c64,1.89,2.82,83A11C3E45C2F572F86E165CD0A67FB082116E08DDD7E87BF781C6C3D2350B50.jpg
Ice Cream,0.497,12 42 19,#44241c,1.85,3.72,8D4637A44610D6382CBD8FFDFED924CA39EFA50AB9D907E677CC7C0731269A90.jpg
Orange Juice,0.502,41 98 50,#fcac04,1.50,2.99,9DC338B0C61F616F72A1B8C4A9F89401BF9F296D6E63DFEE5DC2E912E3D78ABD.jpg
Salmon Fillets,0.873,0 0 96,#f4f4f4,5.99,6.86,C0C04A9D3B9B41E218E25E392D08DE71D5A53A149091ACC3E40985055A44F831.jpg
Banana,0.446,50 90 58,#f4d434,1.20,2.69,D0AE46A7AB59BB14F02B2F6BD57C3839A557EF3D5E376F9E5A1E9AC835EF1224.jpg
Cereal ,0.321,0 0 93,#ececec,1.19,3.71,EAF0239C99CA3EF0CE6059222732D754EB2728290E5C93A55DA5F8DF243635EF.jpg
Beef Mince ,0.461,0 98 50,#fc0404,3.69,8.00,F065A122F919B7CE0FF7ABBDE6F6DC10EE59DFE0E4466871FCFE8E35FE81FC03.jpg
