item_name,price_factor_to_average,most_common_colour_hsl,most_common_colour_hex,item_price,category_price_average,image_file
Greek Yogurt,1.159,30 18 17,#342c24,2.40,2.07,0004-4508b59b42.jpg
Berries,1.159,20 25 19,#3c2c24,3.5,3.02,0005-fc2007ddeb.jpg
Tomato,1.250,30 18 17,#342c24,2.7,2.16,0006-c9e320581f.jpg
Egg,1.223,30 13 24,#443c34,3.45,2.82,0007-71c7cd0d5c.jpg
Bread,1.619,20 25 19,#3c2c24,2.25,1.39,0008-3df60bdcbc.jpg
Salted Butter,1.277,0 15 20,#3c2c2c,3.5,2.74,0009-a0508c3401.jpg
Salmon,1.765,0 0 96,#f4f4f4,9.25,5.24,0010-90b5e9b83f.jpg
Orange Juice,1.171,45 98 50,#fcbc04,3.5,2.99,0011-67866f1401.jpg
Milk,1.054,40 52 91,#f4ecdc,1.95,1.85,0012-22c408e8f8.jpg
,,30 15 20,#3c342c,,,0013-754d570d89.jpg
,,0 0 89,#e4e4e4,,,0014-4fb10c24dc.jpg
,,20 25 19,#3c2c24,,,0015-dd041aa453.jpg
,,240 25 6,#0c0c14,,,0019-7d05a1b830.jpg
,,141 67 33,#1c8c44,,,0020-fbb7dca1ed.jpg
Chips,1.250,0 0 17,#2c2c2c,4,3.2,0022-7cf22dc98c.jpg
Ham,1.529,0 0 96,#f4f4f4,3.18,2.08,0023-b55aa869e7.jpg
,,0 15 20,#3c2c2c,,,0024-0880ff6751.jpg
Ready Meal,1.050,40 38 13,#2c2414,4,3.81,0025-35c4ea20f1.jpg
,,0 18 17,#342424,,,0026-fe1dac9f71.jpg
,,0 0 93,#ececec,,,0027-772bc83290.jpg
,,60 13 13,#24241c,,,0028-bd821303a4.jpg
,,60 13 13,#24241c,,,0029-6eacac646b.jpg
,,20 25 19,#3c2c24,,,0030-7c49c9bbbf.jpg
,,28 95 78,#fcc494,,,0031-f98b170ac2.jpg
Crisps,0.889,0 8 19,#342c2c,1.6,1.8,0032-c3a605b9e1.jpg
Custard,1.257,40 80 94,#fcf4e4,2.25,1.79,0033-fcfe3f0609.jpg
,,30 15 20,#3c342c,,,0034-e907f4fb9c.jpg
,,0 10 16,#2c2424,,,0035-92cc4bd305.jpg
,,60 27 94,#f4f4ec,,,0036-c7c76f9f75.jpg
,,0 0 93,#ececec,,,0037-59843894de.jpg
,,0 0 96,#f4f4f4,,,0038-e31d1d094f.jpg
,,0 0 96,#f4f4f4,,,0039-325fea6ab8.jpg
,,20 25 19,#3c2c24,,,0040-dfa9333274.jpg
,,20 38 13,#2c1c14,,,0041-c17b3349f0.jpg
,,0 22 14,#2c1c1c,,,0042-4d1688d171.jpg
,,40 32 44,#947c4c,,,0043-7c7436b5ed.jpg
,,20 19 25,#4c3c34,,,0044-ac4e3d33e5.jpg
,,32 43 47,#ac7c44,,,0045-8e71da5793.jpg
,,20 30 16,#34241c,,,0046-1a3c31e169.jpg
,,60 10 16,#2c2c24,,,0047-bcb8331a72.jpg
Chicken Breast,2.674,20 38 13,#2c1c14,14.95,5.59,0048-a352396d3b.jpg
Syrup,1.094,60 22 14,#2c2c1c,5.6,5.12,0049-789b067185.jpg
,,30 18 17,#342c24,,,0050-8701b376ba.jpg
,,15 80 8,#240c04,,,0051-cafea78b16.jpg
,,0 8 19,#342c2c,,,0052-1931be7ccb.jpg
Pizza,1.609,0 7 22,#3c3434,6.5,4.04,0053-053a4f474e.jpg
,,30 13 24,#443c34,,,0054-51f7561342.jpg
,,0 0 89,#e4e4e4,,,0055-49bf66cfc7.jpg
,,0 0 17,#2c2c2c,,,0056-31a06a50c1.jpg
,,330 18 17,#34242c,,,0057-ec8497631f.jpg
,,60 22 14,#2c2c1c,,,0058-b7c56dfd12.jpg
,,30 22 14,#2c241c,,,0059-6cd694d02b.jpg
Saussages,1.992,0 0 96,#f4f4f4,5,2.51,0060-4670a02b31.jpg
,,20 21 22,#44342c,,,0061-1fe67c3fab.jpg
,,30 13 24,#443c34,,,0062-d5cbbc4db1.jpg
,,0 10 16,#2c2424,,,0063-055287d896.jpg
,,0 15 20,#3c2c2c,,,0064-6119bcc91c.jpg
,,75 31 20,#3c4424,,,0065-b5ae6de216.jpg
,,60 22 14,#2c2c1c,,,0066-f09f8292f9.jpg
,,20 30 16,#34241c,,,0067-99c398200c.jpg
,,30 29 11,#241c14,,,0068-a9175f62f4.jpg
,,20 30 16,#34241c,,,0069-69249d0316.jpg
,,30 18 17,#342c24,,,0070-c54ab26831.jpg
,,60 27 94,#f4f4ec,,,0071-ad837e77d7.jpg
,,20 30 16,#34241c,,,0072-90f7ec66c3.jpg
,,30 18 17,#342c24,,,0073-2538ea3448.jpg
,,30 15 20,#3c342c,,,0074-30fc55c5bf.jpg
Dark Chocolate,1.186,45 64 39,#a48424,3,2.53,0075-1626a270e3.jpg
,,0 15 20,#3c2c2c,,,0076-3cd5e274e8.jpg
,,30 18 17,#342c24,,,0077-4521414adc.jpg
,,0 0 93,#ececec,,,0078-267beb0bf6.jpg
,,0 0 17,#2c2c2c,,,0079-b6f7355229.jpg
,,0 15 20,#3c2c2c,,,0080-de86f69ccd.jpg
,,0 0 93,#ececec,,,0081-7e0447df7f.jpg
,,30 15 20,#3c342c,,,0082-91f9bb7eef.jpg
,,20 30 16,#34241c,,,0083-453f4e4cff.jpg
,,0 25 19,#3c2424,,,0084-d517a82513.jpg
,,30 15 20,#3c342c,,,0085-eaf291bcad.jpg
,,20 25 19,#3c2c24,,,0086-7f7a194935.jpg
,,30 13 24,#443c34,,,0087-0278f86f6c.jpg
,,40 32 44,#947c4c,,,0088-80e96c669c.jpg
,,60 7 22,#3c3c34,,,0089-088efc1299.jpg
,,60 22 14,#2c2c1c,,,0090-a0a438ea2e.jpg
,,30 29 11,#241c14,,,0091-1cc44fb2c1.jpg
,,0 7 22,#3c3434,,,0092-faa8c68514.jpg
,,0 0 17,#2c2c2c,,,0093-15d0858c31.jpg
,,0 0 93,#ececec,,,0094-d20f803fb9.jpg
,,0 0 30,#4c4c4c,,,0095-38ff743869.jpg
,,207 56 69,#84b4dc,,,0096-d6e2e54f7d.jpg
,,36 87 91,#fcecd4,,,0097-f0e533c453.jpg
,,0 13 24,#443434,,,0098-2dc5ffbc99.jpg
,,30 18 17,#342c24,,,0099-d8284495f3.jpg
,,0 8 19,#342c2c,,,0100-f1b91d52c2.jpg
,,0 8 19,#342c2c,,,0101-5c66a48dea.jpg
,,20 14 35,#64544c,,,0102-a05a29b6db.jpg
,,0 6 25,#443c3c,,,0103-31c5518db8.jpg
,,0 7 22,#3c3434,,,0104-cd032f6f53.jpg
,,60 22 14,#2c2c1c,,,0105-f725bbc3ba.jpg
,,30 18 17,#342c24,,,0106-db9ae2e585.jpg
,,0 6 25,#443c3c,,,0107-bc87ca0a4c.jpg
,,0 10 16,#2c2424,,,0108-110d640c64.jpg
,,0 0 96,#f4f4f4,,,0109-d96183a995.jpg
,,0 10 16,#2c2424,,,0110-ad7977390d.jpg
,,30 18 17,#342c24,,,0111-b3afdcf503.jpg
,,60 13 13,#24241c,,,0112-90233fdc41.jpg
,,23 96 71,#fca46c,,,0113-e12c926b80.jpg
,,20 25 19,#3c2c24,,,0114-9cba0bd98d.jpg
,,60 27 94,#f4f4ec,,,0115-6f9d04da18.jpg
,,12 25 31,#64443c,,,0116-fd4c2eafc5.jpg
,,60 22 14,#2c2c1c,,,0117-69298f4eee.jpg
